generation,max,mean,std,min
140,-20.845814704322983,-26.99144715095382,3.059567458727507,-32.71836587384725
141,-18.568453335497832,-26.29293636857594,3.2413733357166725,-31.5770004631145
142,-19.615336802913465,-26.110033414525866,2.917405465212355,-31.32708508241948
143,-22.828284697394217,-26.858670977084657,2.1909765724135397,-32.49056611693587
144,-18.813951267498606,-26.882057841984558,3.2299675838990027,-35.07343886921155
145,-20.872906656619755,-26.98644356996392,2.989990953916635,-33.474145165127304
146,-21.91536218476366,-27.62890355972983,2.2501518853225675,-31.8249433243928
147,-22.397405494352878,-28.24831932534463,3.098643435807223,-34.913079795093836
148,-17.687240906920515,-27.151828229994653,2.7840288973970413,-34.65402957652314
149,-21.450284157829692,-27.232579469375505,3.0916218178065984,-35.44527092566168
150,-20.295898057746292,-27.315706098215703,2.7435395185793396,-32.504839728279215
151,-23.051821492736725,-27.565939072088494,2.354454599394132,-32.682606495116936
152,-22.129320934237665,-26.96502191101543,2.472183211143455,-31.126198455789456
153,-23.585897304316173,-28.290122942247923,2.5284487227823194,-32.23360655918424
154,-22.090586818565022,-28.203161420462422,2.734777204651666,-35.580130438364854
155,-22.573055524318114,-27.33157286419978,2.4433190946621592,-34.34167660890366
156,-22.691097959167383,-26.962903386784813,2.550107520053918,-32.62904486975843
157,-22.142690820707994,-27.24211825701125,2.500920847680536,-32.4072641955216
158,-19.472155681960935,-27.71020330756077,3.4669300693202856,-34.19688077301
159,-22.05095532523488,-27.47350534408487,2.879249950573317,-32.00074303908658
160,-22.22502786033438,-27.464808054794705,2.5222818812511085,-31.93236147723589
161,-18.270078267616892,-27.456654475407294,3.1312248454180907,-33.35756335099639
162,-24.431233122594843,-27.95842962086285,2.146748450014672,-32.47433330634873
163,-22.399129334892727,-27.520907674590926,2.678954024656375,-33.53359711440216
164,-17.90593576108029,-27.554630114960975,3.094075264197388,-32.738215869452226
165,-21.201814729937485,-26.87946230709527,2.565218188944025,-32.60045440517178
166,-22.35091260000167,-26.561566969661385,2.3813881511750963,-34.38969449966831
167,-24.007514608505254,-28.419276410247637,2.6521807690096764,-34.29490672912772
168,-21.923939908953333,-27.518205846215544,2.733603460379682,-32.83038708256244
169,-21.508688025624004,-26.773373404172606,2.6075824778969463,-31.910344575062492
170,-22.809997255121157,-27.893914005366046,2.627778070196321,-33.01868074172022
171,-22.03992850090116,-28.127040294536773,2.7173330080400246,-33.006537485590954
172,-21.404851655821265,-27.383577301232616,2.955459983230861,-32.59885284364974
173,-22.611964714234183,-27.704616538968576,2.5483744810295934,-33.25131644891538
174,-22.709786351629365,-27.089064519868042,2.5615581219985275,-32.572502004420116
175,-20.48999006291144,-27.04414675850789,3.540464040326262,-34.01295732567833
176,-22.075815416902493,-27.48940645792793,2.226766196633792,-32.612445004758385
177,-21.842871847414553,-28.00925651490369,3.1335700722736886,-35.72984484929214
178,-23.269527000497717,-28.02807791402865,2.748259458435002,-34.92387966747105
179,-19.10590269569444,-27.135142227121623,3.3614797061282777,-33.715468394084915
180,-20.70119756320549,-27.678525777472853,2.54677073576312,-32.608248717113426
181,-21.824649656963093,-27.162813049548582,2.7507750544760796,-32.24132398436474
182,-22.050973375737748,-27.292647855874677,2.5180589479342057,-32.92420073882458
183,-21.93667098110354,-27.624110767228014,3.136007974631158,-34.79841972309357
184,-20.64066376583671,-27.028739353291726,3.294641493320943,-34.74453234166053
185,-22.78469274210874,-27.67256753238504,2.5799499620105624,-32.6129409491689
186,-20.279922935879636,-28.04080354409757,3.3498734775585155,-34.62896229036807
187,-18.744614659053187,-27.414990847833895,2.9512385332421647,-32.076526195981884
188,-19.72411510155,-26.70726151030346,2.721149831145287,-30.85798278001882
189,-21.503495183156254,-27.504850907450642,2.5083945490881843,-31.99761389177946
190,-22.167562379186645,-26.979911935252183,3.070187580243741,-33.4097357024795
191,-20.709645896693036,-27.709592849981824,2.926930785574186,-33.61696095059718
192,-21.03759249816519,-27.496950847830206,2.8026713098395417,-32.38110816008078
193,-21.31788198412439,-26.123438823385086,2.686825652434495,-31.75627897607194
194,-18.600658644897123,-26.948939298029508,2.8852177742392384,-32.65927455674485
195,-18.669829999346007,-27.26436444003014,3.28947262271289,-33.0495925363938
196,-23.683930151650262,-27.55448721659507,2.756002563248803,-34.336190649738946
197,-22.92080772804957,-28.84313226380033,3.96181097205652,-38.47838154010776
198,-21.435923659128843,-28.05055043012235,2.8102427639770986,-36.92272552402407
199,-22.57411929350109,-27.589933228571333,3.1271322576114424,-34.61123234118427
200,-22.281837583411477,-26.507517378570693,2.5375128728148417,-32.752785060449085
201,-20.716212999859586,-27.539403021636737,2.7616468978209974,-32.69775340341567
202,-20.564058949281776,-27.572534304576376,3.1640096718400885,-32.92690608667331
203,-20.130018887222167,-27.121534608317333,3.036555266022414,-34.62760362695864
204,-22.214604998499016,-27.477447149715264,2.215302136497145,-31.8401550163204
205,-22.45823555025567,-28.031701304343564,2.7141505281803084,-32.89975161509683
206,-20.378922765949305,-28.239905339518454,2.985308911620191,-34.79290672995801
207,-22.23180577867064,-27.59755142557151,2.972835097008234,-34.145922481822176
208,-21.38126113669259,-27.491614144402202,2.7664746753836784,-32.96104865807993
209,-23.484198069557188,-27.622253817669975,2.5584278946584185,-34.02992624012612
210,-21.592941959458024,-26.075575666163875,2.577099851197033,-32.17920438290652
211,-24.274107557721567,-27.379337712586214,1.8839912121839704,-31.85672883486986
212,-20.83655005249711,-27.492113610353968,2.9318299536792205,-33.15155988632421
213,-20.60110665251113,-25.97644076407176,2.9275643895670997,-31.774154943825295
214,-20.10951392194373,-27.810139745240054,3.2569950380654373,-34.472872040957945
215,-21.695802360693587,-26.90593635075026,2.7401608333748873,-31.694877372562388
216,-21.14508230073043,-25.96994618592002,2.834340129970252,-34.304381445616585
217,-20.081258386156556,-27.82004363539114,3.164546206301842,-35.241070909550686
218,-20.962032487058018,-26.783559599622098,3.054499427436449,-33.43071678023294
219,-20.66206755636208,-27.858773558685616,3.215098946035653,-31.714401390780733
220,-22.235607637969746,-26.73283029231046,2.602880637503943,-31.919994356801148
221,-23.185362028115286,-28.483047777720838,2.47519264949645,-33.243790379506024
222,-20.785244054850132,-26.915761667516616,2.660251750001052,-32.22531096482385
223,-20.05804869545391,-27.31536878187845,3.450284660874908,-36.117920923065995
224,-21.896884821850925,-28.38366411060754,3.193291231049968,-33.304608891156604
225,-18.821104632864753,-26.62782577964575,3.522134015488,-34.60669582782872
226,-23.829460113543327,-28.149001805071318,2.5104441331206706,-36.16122475069402
227,-22.337855754544115,-28.366955726362107,2.9117111736540724,-33.3636049859788
228,-22.641367204786462,-27.80561789019703,2.763104617395789,-32.534282901130815
229,-22.935381277169917,-27.285449044957282,2.501381967466074,-32.97136353423082
230,-22.662795997153577,-27.55621552810897,2.5462464857503893,-32.73142511774911
231,-22.30982541690269,-27.335045299514608,2.3818858876706663,-31.22935815527952
232,-22.345624831286848,-27.679459696798315,2.5354486788908708,-32.29899123910312
